,wickets,Total,batting_team,venue,match_winner,wickets_6overs,runs_6overs,toss,year,winner
0,10,112,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Mumbai Indians,2,43,0,2012,0
1,9,97,Kolkata Knight Riders,Eden Gardens,Delhi Daredevils,4,47,0,2012,0
2,9,129,Pune Warriors,Wankhede Stadium,Pune Warriors,3,31,0,2012,1
3,4,191,Rajasthan Royals,Sawai Mansingh Stadium,Rajasthan Royals,0,57,0,2012,1
4,8,157,Royal Challengers Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,2,48,0,2012,1
5,6,193,Chennai Super Kings,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Chennai Super Kings,2,45,0,2012,1
6,5,164,Rajasthan Royals,Sawai Mansingh Stadium,Rajasthan Royals,1,38,0,2012,1
7,6,166,Pune Warriors,Subrata Roy Sahara Stadium,Pune Warriors,2,38,1,2012,1
8,9,138,Deccan Chargers,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Mumbai Indians,2,45,1,2012,0
9,8,165,Kolkata Knight Riders,M Chinnaswamy Stadium,Kolkata Knight Riders,0,60,0,2012,1
10,8,110,Chennai Super Kings,Feroz Shah Kotla,Delhi Daredevils,2,41,0,2012,0
11,6,197,Mumbai Indians,Wankhede Stadium,Mumbai Indians,1,58,0,2012,1
12,8,205,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,1,57,1,2012,0
13,10,115,Pune Warriors,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,3,29,0,2012,0
14,5,131,Rajasthan Royals,Eden Gardens,Kolkata Knight Riders,0,45,1,2012,0
15,8,157,Deccan Chargers,Feroz Shah Kotla,Delhi Daredevils,1,51,1,2012,0
16,5,155,Chennai Super Kings,Subrata Roy Sahara Stadium,Pune Warriors,0,43,1,2012,0
17,9,134,Kings XI Punjab,Eden Gardens,Kings XI Punjab,2,27,0,2012,1
18,2,195,Rajasthan Royals,M Chinnaswamy Stadium,Rajasthan Royals,0,44,1,2012,1
19,10,92,Mumbai Indians,Wankhede Stadium,Delhi Daredevils,2,24,0,2012,0
20,2,196,Deccan Chargers,Sawai Mansingh Stadium,Rajasthan Royals,0,57,1,2012,0
21,6,182,Pune Warriors,M Chinnaswamy Stadium,Royal Challengers Bangalore,0,59,1,2012,0
22,7,124,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Kolkata Knight Riders,1,45,1,2012,0
23,4,187,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",Delhi Daredevils,2,33,1,2012,0
24,5,164,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,43,0,2012,1
25,6,163,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Royal Challengers Bangalore,2,42,0,2012,0
26,4,146,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,1,41,1,2012,0
27,3,192,Pune Warriors,Feroz Shah Kotla,Pune Warriors,1,53,0,2012,1
28,6,163,Mumbai Indians,Wankhede Stadium,Kings XI Punjab,0,40,1,2012,0
29,7,126,Deccan Chargers,Barabati Stadium,Kolkata Knight Riders,1,41,0,2012,0
30,3,189,Royal Challengers Bangalore,Sawai Mansingh Stadium,Royal Challengers Bangalore,1,38,0,2012,1
31,2,146,Pune Warriors,Subrata Roy Sahara Stadium,Delhi Daredevils,2,28,1,2012,0
32,3,168,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Mumbai Indians,1,44,1,2012,0
33,4,177,Deccan Chargers,Subrata Roy Sahara Stadium,Deccan Chargers,2,51,1,2012,1
34,5,207,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,0,54,0,2012,1
35,8,156,Kings XI Punjab,"MA Chidambaram Stadium, Chepauk",Kings XI Punjab,0,47,1,2012,1
36,4,190,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,0,46,1,2012,1
37,6,152,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,2,43,1,2012,1
38,10,100,Deccan Chargers,Wankhede Stadium,Mumbai Indians,1,38,0,2012,0
39,5,139,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Kolkata Knight Riders,2,47,1,2012,0
40,4,186,Deccan Chargers,Barabati Stadium,Deccan Chargers,2,33,1,2012,1
41,6,141,Rajasthan Royals,Sawai Mansingh Stadium,Delhi Daredevils,0,57,1,2012,0
42,5,158,Royal Challengers Bangalore,M Chinnaswamy Stadium,Kings XI Punjab,1,33,0,2012,0
43,9,120,Mumbai Indians,Subrata Roy Sahara Stadium,Mumbai Indians,0,43,1,2012,1
44,6,160,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,1,57,1,2012,1
45,5,150,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,0,68,1,2012,1
46,6,177,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",Rajasthan Royals,1,64,1,2012,1
47,8,173,Chennai Super Kings,Wankhede Stadium,Mumbai Indians,1,52,0,2012,0
48,2,181,Deccan Chargers,M Chinnaswamy Stadium,Royal Challengers Bangalore,0,46,0,2012,0
49,9,153,Delhi Daredevils,Feroz Shah Kotla,Kolkata Knight Riders,2,51,1,2012,0
50,6,125,Pune Warriors,Subrata Roy Sahara Stadium,Rajasthan Royals,1,35,1,2012,0
51,5,170,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",Kings XI Punjab,0,51,0,2012,1
52,6,141,Mumbai Indians,Wankhede Stadium,Royal Challengers Bangalore,2,26,0,2012,0
53,6,126,Rajasthan Royals,Sawai Mansingh Stadium,Chennai Super Kings,2,28,0,2012,0
54,3,173,Royal Challengers Bangalore,Subrata Roy Sahara Stadium,Royal Challengers Bangalore,0,66,0,2012,1
55,1,182,Mumbai Indians,Eden Gardens,Mumbai Indians,2,50,1,2012,1
56,5,114,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,4,27,0,2012,0
57,4,170,Rajasthan Royals,Sawai Mansingh Stadium,Rajasthan Royals,1,46,1,2012,1
58,4,190,Deccan Chargers,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,1,47,1,2012,0
59,6,171,Royal Challengers Bangalore,M Chinnaswamy Stadium,Mumbai Indians,2,41,0,2012,0
60,6,158,Kolkata Knight Riders,Eden Gardens,Chennai Super Kings,0,50,0,2012,0
61,8,136,Kings XI Punjab,Feroz Shah Kotla,Delhi Daredevils,2,47,1,2012,0
62,7,140,Kolkata Knight Riders,Wankhede Stadium,Kolkata Knight Riders,2,33,0,2012,1
63,7,120,Chennai Super Kings,Himachal Pradesh Cricket Association Stadium,Kings XI Punjab,2,26,0,2012,0
64,1,215,Royal Challengers Bangalore,Feroz Shah Kotla,Royal Challengers Bangalore,0,42,0,2012,1
65,8,126,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,1,41,1,2012,0
66,8,141,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,Delhi Daredevils,4,21,0,2012,0
