,Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
0,DA Warner,14,14,3,641,126,58.27,452,141.81,1,4,0,63,26
1,(Sunrisers Hyderabad),,,,,,,,,,,,,
2,G Gambhir,16,16,4,498,76*,41.50,389,128.02,0,4,0,62,7
3,(Kolkata Knight Riders),,,,,,,,,,,,,
4,S Dhawan,14,14,1,479,77,36.84,376,127.39,0,3,0,53,9
5,(Sunrisers Hyderabad),,,,,,,,,,,,,
6,SPD Smith,15,15,3,472,84*,39.33,387,121.96,0,3,0,38,12
7,(Rising Pune Supergiant),,,,,,,,,,,,,
8,SK Raina,14,14,3,442,84,40.18,307,143.97,0,3,0,42,13
9,(Gujarat Lions),,,,,,,,,,,,,
10,HM Amla,10,10,3,420,104*,60.00,288,145.83,2,2,1,40,17
11,(Kings XI Punjab),,,,,,,,,,,,,
12,MK Pandey,14,13,5,396,81*,49.50,308,128.57,0,2,0,28,12
13,(Kolkata Knight Riders),,,,,,,,,,,,,
14,PA Patel,16,16,0,395,70,24.68,293,134.81,0,2,2,49,8
15,(Mumbai Indians),,,,,,,,,,,,,
16,RA Tripathi,14,14,0,391,93,27.92,267,146.44,0,2,1,43,17
17,(Rising Pune Supergiant),,,,,,,,,,,,,
18,RV Uthappa,14,13,0,388,87,29.84,235,165.10,0,5,1,36,21
19,(Kolkata Knight Riders),,,,,,,,,,,,,
20,SV Samson,14,14,0,386,102,27.57,273,141.39,1,2,2,32,19
21,(Delhi Daredevils),,,,,,,,,,,,,
22,KA Pollard,17,16,3,385,70,29.61,276,139.49,0,3,0,26,22
23,(Mumbai Indians),,,,,,,,,,,,,
24,AM Rahane,16,16,1,382,60,25.46,323,118.26,0,2,2,35,9
25,(Rising Pune Supergiant),,,,,,,,,,,,,
26,RR Pant,14,14,0,366,97,26.14,221,165.61,0,2,3,28,24
27,(Delhi Daredevils),,,,,,,,,,,,,
28,KD Karthik,14,13,3,361,65,36.10,259,139.38,0,2,1,30,11
29,(Gujarat Lions),,,,,,,,,,,,,
30,SS Iyer,12,12,2,338,96,33.80,243,139.09,0,2,0,36,10
31,(Delhi Daredevils),,,,,,,,,,,,,
32,N Rana,13,12,1,333,62*,30.27,264,126.13,0,3,0,24,17
33,(Mumbai Indians),,,,,,,,,,,,,
34,RG Sharma,17,16,2,333,67,23.78,273,121.97,0,3,1,31,9
35,(Mumbai Indians),,,,,,,,,,,,,
36,MK Tiwary,15,13,3,324,60,32.40,236,137.28,0,2,1,31,11
37,(Rising Pune Supergiant),,,,,,,,,,,,,
38,BB McCullum,11,11,0,319,72,29.00,217,147.00,0,2,0,29,18
39,(Gujarat Lions),,,,,,,,,,,,,
40,BA Stokes,12,11,1,316,103*,31.60,221,142.98,1,1,0,22,15
41,(Rising Pune Supergiant),,,,,,,,,,,,,
42,GJ Maxwell,14,13,3,310,47,31.00,179,173.18,0,0,3,19,26
43,(Kings XI Punjab),,,,,,,,,,,,,
44,V Kohli,10,10,0,308,64,30.80,252,122.22,0,4,1,23,11
45,(Royal Challengers Bangalore),,,,,,,,,,,,,
46,AJ Finch,13,13,1,299,72,24.91,180,166.11,0,2,1,25,19
47,(Gujarat Lions),,,,,,,,,,,,,
48,CA Lynn,7,7,1,295,93*,49.16,163,180.98,0,3,0,25,19
49,(Kolkata Knight Riders),,,,,,,,,,,,,
50,MS Dhoni,16,15,4,290,61*,26.36,250,116.00,0,1,0,15,16
51,(Rising Pune Supergiant),,,,,,,,,,,,,
52,KK Nair,14,13,0,281,64,21.61,226,124.33,0,1,1,39,6
53,(Delhi Daredevils),,,,,,,,,,,,,
54,Ishan Kishan,11,10,0,277,61,27.70,206,134.46,0,1,0,29,13
55,(Gujarat Lions),,,,,,,,,,,,,
56,MC Henriques,12,11,5,277,55*,46.16,203,136.45,0,3,0,28,4
57,(Sunrisers Hyderabad),,,,,,,,,,,,,
58,JC Buttler,10,10,0,272,77,27.20,177,153.67,0,1,0,27,15
59,(Mumbai Indians),,,,,,,,,,,,,
60,KM Jadhav,13,13,1,267,69,22.25,186,143.54,0,1,0,25,10
61,(Royal Challengers Bangalore),,,,,,,,,,,,,
62,SE Marsh,9,8,0,264,84,33.00,194,136.08,0,2,0,36,5
63,(Kings XI Punjab),,,,,,,,,,,,,
64,KS Williamson,7,7,1,256,89,42.66,169,151.47,0,2,0,20,10
65,(Sunrisers Hyderabad),,,,,,,,,,,,,
66,Yuvraj Singh,12,11,2,252,70*,28.00,177,142.37,0,2,1,30,8
67,(Sunrisers Hyderabad),,,,,,,,,,,,,
68,HH Pandya,17,16,9,250,35*,35.71,160,156.25,0,0,0,11,20
69,(Mumbai Indians),,,,,,,,,,,,,
70,KH Pandya,13,11,4,243,47,34.71,179,135.75,0,0,0,24,7
71,(Mumbai Indians),,,,,,,,,,,,,
72,DR Smith,12,12,1,239,74,21.72,156,153.20,0,2,2,32,8
73,(Gujarat Lions),,,,,,,,,,,,,
74,WP Saha,14,11,1,234,93*,23.40,187,125.13,0,1,1,20,8
75,(Kings XI Punjab),,,,,,,,,,,,,
76,M Vohra,11,9,0,229,95,25.44,159,144.02,0,1,0,23,9
77,(Kings XI Punjab),,,,,,,,,,,,,
78,AR Patel,14,13,5,227,44,28.37,162,140.12,0,0,1,11,11
79,(Kings XI Punjab),,,,,,,,,,,,,
80,SP Narine,16,14,1,224,54,17.23,130,172.30,0,1,2,34,10
81,(Kolkata Knight Riders),,,,,,,,,,,,,
82,AB de Villiers,9,9,1,216,89*,27.00,163,132.51,0,1,0,12,16
83,(Royal Challengers Bangalore),,,,,,,,,,,,,
84,CH Gayle,9,9,0,200,77,22.22,163,122.69,0,1,2,15,14
85,(Royal Challengers Bangalore),,,,,,,,,,,,,
86,Mandeep Singh,11,10,0,188,52,18.80,177,106.21,0,1,2,21,4
87,(Royal Challengers Bangalore),,,,,,,,,,,,,
88,RA Jadeja,12,10,6,158,28,39.50,113,139.82,0,0,0,13,4
89,(Gujarat Lions),,,,,,,,,,,,,
90,CH Morris,9,9,4,154,52*,30.80,94,163.82,0,1,0,15,6
91,(Delhi Daredevils),,,,,,,,,,,,,
92,TM Head,7,7,2,151,75*,30.20,108,139.81,0,1,1,9,6
93,(Royal Challengers Bangalore),,,,,,,,,,,,,
94,P Negi,12,10,2,144,35,18.00,111,129.72,0,0,0,10,7
95,(Royal Challengers Bangalore),,,,,,,,,,,,,
96,YK Pathan,15,11,3,143,59,17.87,115,124.34,0,1,1,9,6
97,(Kolkata Knight Riders),,,,,,,,,,,,,
98,CJ Anderson,11,11,4,142,41*,20.28,123,115.44,0,0,1,8,9
99,(Delhi Daredevils),,,,,,,,,,,,,
