,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
0,AD Russell,13,13,40.4,0,324,14,3/32,23.14,7.96,17.4,0,0
1,PP Chawla,13,13,35.0,0,269,11,4/32,24.45,7.68,19.0,1,0
2,M Morkel,7,7,28.0,1,206,10,2/18,20.60,7.35,16.8,0,0
3,UT Yadav,12,12,42.0,0,382,10,3/33,38.20,9.09,25.2,0,0
4,GB Hogg,6,6,21.0,0,144,9,4/29,16.00,6.85,14.0,1,0
5,SP Narine,8,8,32.0,0,234,7,4/19,33.42,7.31,27.4,1,0
6,Shakib Al Hasan,4,4,14.0,0,123,4,2/22,30.75,8.78,21.0,0,0
7,YK Pathan,13,5,10.0,0,97,2,2/40,48.50,9.70,30.0,0,0
8,KC Cariappa,1,1,2.0,0,28,1,1/28,28.00,14.00,12.0,0,0
9,J Botha,4,4,10.0,0,81,1,1/32,81.00,8.10,60.0,0,0
10,PJ Cummins,3,3,10.0,0,97,1,1/54,97.00,9.70,60.0,0,0
11,RN ten Doeschate,6,1,1.0,0,4,0,-,-,4.00,-,0,0
12,Azhar Mahmood,1,1,3.0,0,41,0,-,-,13.66,-,0,0
13,Records includes the following current or recent matches:,,,,,,,,,,,,
14,"Rajasthan Royals v Kolkata Knight Riders at Mumbai (BS), Pepsi Indian Premier League 54th match, May 16, 2015
[Twenty20]",,,,,,,,,,,,
15,"Mumbai Indians v Kolkata Knight Riders at Mumbai, Pepsi Indian Premier League 51st match, May 14, 2015
[Twenty20]",,,,,,,,,,,,
16,"Kolkata Knight Riders v Kings XI Punjab at Kolkata, Pepsi Indian Premier League 44th match, May 9, 2015
[Twenty20]",,,,,,,,,,,,
