,Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,team,year,status
0,DJ Bravo,19,16,8,371,48,46.37,264,140.53,0,0,0,20,20,CSK,2012,R
1,F du Plessis,13,12,0,398,73,33.16,304,130.92,0,3,0,29,17,CSK,2012,R
2,MEK Hussey,8,8,0,261,56,32.62,236,110.59,0,2,0,28,8,CSK,2012,R
3,MS Dhoni,19,17,5,358,51*,29.83,278,128.77,0,1,0,26,9,CSK,2012,R
4,S Badrinath,15,9,2,196,57,28.0,181,108.28,0,1,0,23,2,CSK,2012,R
5,SK Raina,19,18,1,441,73,25.94,325,135.69,0,1,2,36,19,CSK,2012,R
6,M Vijay,14,14,1,336,113,25.84,267,125.84,1,0,2,39,10,CSK,2012,R
7,RA Jadeja,19,14,2,191,48,15.91,151,126.49,0,0,0,13,9,CSK,2012,R
8,JA Morkel,16,12,5,107,28,15.28,68,157.35,0,0,1,5,6,CSK,2012,R
9,R Ashwin,19,5,2,18,8,6.0,15,120.0,0,0,1,2,0,CSK,2012,R
10,WP Saha,4,1,0,6,6,6.0,14,42.85,0,0,0,0,0,CSK,2012,R
11,DE Bollinger,6,1,0,3,3,3.0,5,60.0,0,0,0,0,0,CSK,2012,R
12,S Anirudha,4,2,2,19,18*,0.0,7,271.42,0,0,0,1,2,CSK,2012,R
13,SB Jakati,15,2,2,7,6*,0.0,12,58.33,0,0,0,0,0,CSK,2012,R
14,KMDN Kulasekara,5,1,1,5,5*,0.0,3,166.66,0,0,0,1,0,CSK,2012,R
15,BW Hilfenhaus,9,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,CSK,2012,R
16,VY Mahesh,5,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,CSK,2012,R
0,JP Duminy,9,9,6,244,74,81.33,190,128.42,0,2,0,13,11,DC,2012,DQ
1,CL White,13,13,2,479,78,43.54,320,149.68,0,5,1,41,20,DC,2012,DQ
2,S Dhawan,15,15,1,569,84,40.64,439,129.61,0,5,0,58,18,DC,2012,DQ
3,DT Christian,7,7,2,145,39,29.0,118,122.88,0,0,0,8,6,DC,2012,DQ
4,DJ Harris,4,4,0,111,47,27.75,101,109.9,0,0,0,11,5,DC,2012,DQ
5,PA Reddy,5,4,1,73,42,24.33,59,123.72,0,0,0,6,2,DC,2012,DQ
6,KC Sangakkara,12,12,1,200,82,18.18,184,108.69,0,1,0,21,4,DC,2012,DQ
7,PA Patel,14,13,2,194,45,17.63,165,117.57,0,0,1,19,4,DC,2012,DQ
8,B Chipli,5,4,1,37,25*,12.33,35,105.71,0,0,0,3,2,DC,2012,DQ
9,AA Jhunjhunwala,5,3,1,24,19,12.0,26,92.3,0,0,0,1,1,DC,2012,DQ
10,A Ashish Reddy,9,5,1,35,10*,8.75,29,120.68,0,0,0,3,1,DC,2012,DQ
11,IR Jaggi,3,3,1,15,10*,7.5,21,71.42,0,0,0,0,0,DC,2012,DQ
12,Ankit Sharma,9,4,1,18,15,6.0,13,138.46,0,0,0,0,2,DC,2012,DQ
13,CA Lynn,1,1,0,6,6,6.0,9,66.66,0,0,0,1,0,DC,2012,DQ
