,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Ct,St,team,year,status
0,R Ashwin,19,18,65.5,0,431,14,3/23,30.78,6.54,28.2,0,0,5,0,CSK,2012,R
1,KMDN Kulasekara,5,4,14.0,0,94,4,2/10,23.50,6.71,21.0,0,0,4,0,CSK,2012,R
2,BW Hilfenhaus,9,9,34.0,2,233,14,3/27,16.64,6.85,14.5,0,0,0,0,CSK,2012,R
3,SK Raina,19,7,14.0,0,105,2,1/5,52.50,7.50,42.0,0,0,11,0,CSK,2012,R
4,JA Morkel,16,15,49.3,0,385,13,3/29,29.61,7.77,22.8,0,0,2,0,CSK,2012,R
5,RA Jadeja,19,14,35.0,0,273,12,5/16,22.75,7.80,17.5,0,1,2,0,CSK,2012,R
6,DJ Bravo,19,18,57.4,0,462,15,2/10,30.80,8.01,23.0,0,0,9,0,CSK,2012,R
7,SB Jakati,15,15,41.0,0,336,9,2/14,37.33,8.19,27.3,0,0,4,0,CSK,2012,R
8,VY Mahesh,5,4,9.2,0,81,3,2/21,27.00,8.67,18.6,0,0,1,0,CSK,2012,R
9,DE Bollinger,6,6,18.0,0,157,8,3/24,19.62,8.72,13.5,0,0,2,0,CSK,2012,R
10,F du Plessis,13,1,1.0,0,16,0,0.0,0.0,16.00,0.0,0,0,4,0,CSK,2012,R
11,S Anirudha,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,CSK,2012,R
12,S Badrinath,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,CSK,2012,R
13,MS Dhoni,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,2,CSK,2012,R
14,MEK Hussey,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,CSK,2012,R
15,WP Saha,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,CSK,2012,R
16,M Vijay,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,CSK,2012,R
0,DW Steyn,12,12,46.4,2,285,18,3/8,15.83,6.10,15.5,0,0,4,0,DC,2012,DQ
1,AA Jhunjhunwala,5,3,6.0,0,38,1,1/13,38.00,6.33,36.0,0,0,2,0,DC,2012,DQ
